Power:
Island    (   0.0%): power/t =  2.64e10 (-   1.00e9 =  2.54e10), power/h =  4.57e14 (-  1.80e13), bat =  4.57e15
Village   (   0.0%): power/t =  2.05e11 (-   5.50e9 =  1.99e11), power/h =  3.59e15 (-  9.90e13), bat =  3.59e16
Region    (   1.2%): power/t =  1.09e13 (-  4.05e11 =  1.05e13), power/h =  1.90e17 (-  7.29e15), bat =  1.90e18
City      (  13.0%): power/t =  1.17e14 (-  4.27e11 =  1.16e14), power/h =  2.09e18 (-  7.70e15), bat =  2.09e19
SHC       (   7.1%): power/t =  6.68e13 (-  3.15e12 =  6.36e13), power/h =  1.15e18 (-  5.67e16), bat =  1.15e19
Metro     (  23.5%): power/t =  2.11e14 (-  4.27e11 =  2.10e14), power/h =  3.78e18 (-  7.70e15), bat =  3.78e19
FHC       (  14.9%): power/t =  1.46e14 (-  1.26e13 =  1.34e14), power/h =  2.41e18 (-  2.27e17), bat =  2.41e19
Mainland  (  40.3%): power/t =  4.09e14 (-  4.72e13 =  3.61e14), power/h =  6.51e18 (-  8.50e17), bat =  6.51e19
Total: power/t =  9.60e14 (-  6.43e13 =  8.96e14), power/h =  1.61e19 (-  1.16e18), bat =  1.61e20

Upgrades:
t =   0.00 , Metro     :  86.41 =   9.01 +  77.40 -> + 1.12e14 ( 53.19%) for  1.56e20, ThoriumGen4 1:4:8:2 -> ProtactiumGen4 1:2:6:1C    , L0->2 WEMW29->30 P27->28 I15->9 C0->2
t =   9.01 , Metro     :  87.82 =  12.57 +  75.25 -> + 1.86e14 ( 57.78%) for  2.52e20, ProtactiumGen4 1:2:6:1C                           , H0->2 GMW57->58 WEMW30->31 P28->29 I9->8 C2->4
t =  21.58 , Mainland  :  86.61 =  12.01 +  74.60 -> + 2.09e14 ( 57.90%) for  2.81e20, ProtactiumGen4 1:4:12:1C                          , H3->5 GMW57->58 WEMW29->31 P28->29 I10->9 C2->4
t =  33.59 , Mainland  :  95.53 =   1.47 +  94.06 -> + 2.36e13 (  4.14%) for  4.00e19, ProtactiumGen4 1:4:12:1C                          , L1->2
t =  35.07 , SHC       :  104.15 =   1.73 +  102.42 -> + 2.55e13 ( 40.05%) for  4.70e19, ProtactiumGen4 1:50:100:4                         , H3->4 GMW54->55 WEMW27->28 P25->26 I13->15
t =  36.80 , Region    :  109.75 =   0.01 +  109.74 -> + 2.02e11 (  1.92%) for  4.00e17, ThoriumGen4 1:2:6:1                               , L1->2
t =  36.81 , Region    :  113.62 =   0.38 +  113.24 -> + 5.15e12 ( 47.95%) for  1.05e19, ThoriumGen4 1:2:6:1                               , H7->9 GMW50->52 WEMW24->25 P22->23 I13->11
t =  37.19 , FHC       :  115.84 =   4.67 +  111.17 -> + 6.47e13 ( 48.40%) for  1.29e20, ProtactiumGen4 1:8:24:4C                          , H2->3 GMW55->56 WEMW29->30 P27->28 I7->9 C3->4
t =  41.86 , Mainland  :  116.54 =  18.82 +  97.73 -> + 3.09e14 ( 51.99%) for  5.44e20, ProtactiumGen4 1:4:12:1C                          , H5->6 GMW58->60 WEMW31->32 P29->30 I9->15
t =  60.68 , Metro     :  119.14 =  15.21 +  103.93 -> + 2.80e14 ( 55.12%) for  5.24e20, ProtactiumGen4 1:2:6:1C                           , H2->3 GMW58->60 WEMW31->32 P29->30 I8->14
t =  75.89 , SHC       :  126.73 =   2.93 +  123.80 -> + 5.19e13 ( 58.24%) for  1.16e20, ProtactiumGen4 1:50:100:4                         , H4->6 GMW55->57 WEMW28->29 P26->27
t =  78.82 , City      :  127.30 =  12.35 +  114.95 -> + 2.41e14 ( 207.62%) for  4.99e20, ThoriumGen4 1:2:6:1C -> ProtactiumGen4 1:2:6:1C   , H0->2 L0->2 GMW54->58 WEMW28->31 P26->29 I15->8 C1->4
t =  91.17 , FHC       :  133.91 =   6.03 +  127.88 -> + 1.19e14 ( 59.82%) for  2.73e20, ProtactiumGen4 1:8:24:4C                          , H3->5 GE82->83 GMW56->58 WEMW30->31 P28->29
t =  97.20 , Region    :  137.01 =   0.31 +  136.70 -> + 5.91e12 ( 37.19%) for  1.45e19, ThoriumGen4 1:2:6:1                               , H9->10 GE82->86 GMW52->53 WEMW25->26 P23->24 I11->14
t =  97.51 , Metro     :  153.98 =  21.17 +  132.81 -> + 4.21e14 ( 53.40%) for  1.01e21, ProtactiumGen4 1:2:6:1C                           , H3->6 GMW60->61 WEMW32->33 P30->31 I14->6 C4->6
t =  118.67 , Mainland  :  152.92 =  19.25 +  133.67 -> + 4.41e14 ( 48.81%) for  1.06e21, ProtactiumGen4 1:4:12:1C                          , H6->8 GMW60->61 WEMW32->33 P30->31 I15->13 C4->6
t =  137.93 , City      :  155.99 =   8.31 +  147.69 -> + 1.97e14 ( 55.12%) for  5.24e20, ProtactiumGen4 1:2:6:1C                           , H2->3 GMW58->60 WEMW31->32 P29->30 I8->14
t =  146.23 , Region    :  182.43 =   0.61 +  181.83 -> + 1.24e13 ( 56.77%) for  4.05e19, ThoriumGen4 1:2:6:1                               , H10->12 GE86->88 GMW53->55 WEMW26->27 P24->25
t =  146.84 , SHC       :  187.38 =   4.01 +  183.38 -> + 8.11e13 ( 57.51%) for  2.68e20, ProtactiumGen4 1:50:100:4                         , H6->8 GMW57->59 WEMW29->30 P27->28
t =  150.85 , FHC       :  189.24 =   7.88 +  181.36 -> + 1.65e14 ( 51.99%) for  5.38e20, ProtactiumGen4 1:8:24:4C                          , H5->6 GMW58->60 WEMW31->32 P29->30 I9->12
